Date,settled_cases,volatility_index,growth_GDP,growth_unemp,lag_vol,growth_HPI,settled_lag,through,crisis,peak
2007-07-31,11,23.52,1.6806323646389956,0.021506205220963803,22.5,-0.003012100319470079,9.0,0.0,0,0.0
2007-08-31,9,23.38,1.7497544250770005,-0.021506205220963803,26.2,-0.004196731827714295,2.0,0.0,0,0.0
2007-09-30,4,18.0,1.8037986676099962,0.021506205220963803,26.54,-0.006194313598065548,2.0,0.0,0,0.0
2007-10-31,9,18.53,1.8327770179949994,0.0,25.61,-0.008933011791515177,4.0,0.0,0,0.0
2007-11-30,10,22.87,1.8288855696170003,0.0,20.79,-0.013433905372301602,3.0,0.0,0,0.0
2007-12-31,5,22.5,1.7918253684989907,0.06187540371808731,17.83,-0.010467754303845389,1.0,0.0,0,1.0
2008-01-31,7,26.2,1.7366296887200008,0.0,23.95,-0.013123776557660172,2.0,0.0,0,0.0
2008-02-29,9,26.54,1.6799445027300095,-0.020202707317519275,22.94,-0.011085362965093104,2.0,0.0,0,0.0
2008-03-31,2,25.61,1.627822892447,0.04000533461369904,20.65,-0.0076417318870971584,11.0,0.0,0,0.0
2008-04-30,12,20.79,1.5638421922209886,-0.019802627296179764,39.39,-0.003460314284117416,4.0,0.0,0,0.0
2008-05-31,8,17.83,1.4593618956769916,0.07696104113612856,59.89,-0.0018065015022079578,9.0,0.0,0,0.0
2008-06-30,3,23.95,1.2847939451149983,0.03636764417087468,55.28,-0.0028960066768242143,2.0,0.0,0,0.0
2008-07-31,9,22.94,1.0238904662890036,0.035091319811270116,40.0,-0.004954006586371129,7.0,0.0,0,0.0
2008-08-31,2,20.65,0.6716230689319929,0.050430853626891814,44.84,-0.008703137983222753,4.0,0.0,0,0.0
2008-09-30,2,39.39,0.23819191271400086,0.0,46.35,-0.01451304616151372,3.0,0.0,0,0.0
2008-10-31,4,59.89,-0.24067962738421045,0.06351340572232589,44.14,-0.017142778625439448,7.0,0.0,0,0.0
2008-11-30,3,55.28,-0.720307793188212,0.04512043528046972,36.5,-0.019624334298494972,5.0,0.0,0,0.0
2008-12-31,1,40.0,-1.1599177997225922,0.07095173597228444,28.92,-0.022851693637334414,2.0,0.0,0,0.0
2009-01-31,2,44.84,-1.5349514875302077,0.06624938554120074,26.35,-0.021080329071248904,7.0,0.0,0,0.0
2009-02-28,2,46.35,-1.830525831385998,0.06213178110700612,25.92,-0.011745112758178244,3.0,0.0,0,0.0
2009-03-31,11,44.14,-2.0396534101274995,0.04706751085798544,26.01,-0.007493269391654067,12.0,0.0,0,0.0
2009-04-30,4,36.5,-2.1672670775974012,0.03390155167568176,25.61,0.0029237495227754096,5.0,0.0,0,0.0
2009-05-31,9,28.92,-2.2212727304328013,0.04348511193973881,30.69,0.008315450385398826,9.0,0.0,0,0.0
2009-06-30,2,26.35,-2.2096356582736973,0.010582109330536937,24.51,0.010907356254524103,5.0,1.0,0,0.0
2009-07-31,7,25.92,-2.142839287456596,0.0,21.68,0.006315299104472594,3.0,0.0,0,0.0
2009-08-31,4,26.01,-2.0312660208131916,0.010471299867295336,24.62,-0.000550750328280003,8.0,0.0,0,0.0
2009-09-30,3,25.61,-1.886641361567797,0.02061928720273576,19.5,-0.006933487212733347,1.0,0.0,0,0.0
2009-10-31,7,30.69,-1.726823817549402,0.020202707317519497,17.59,-0.006975165938422734,3.0,0.0,0,0.0
2009-11-30,5,24.51,-1.5687533588992153,-0.010050335853501569,22.05,-0.004336997007798438,10.0,0.0,0,0.0
2009-12-31,2,21.68,-1.422573526134073,0.0,32.07,-0.008635374294831522,4.0,0.0,0,0.0
2010-01-31,7,24.62,-1.2857316621746975,-0.010152371464017929,34.54,-0.01140346091760236,6.0,0.0,0,0.0
2010-02-28,3,19.5,-1.150159670989595,0.0,23.5,-0.0135252601627327,12.0,0.0,0,0.0
2010-03-31,12,17.59,-1.0090001785417968,0.010152371464017929,26.05,0.00378159333200756,10.0,0.0,0,0.0
2010-04-30,5,22.05,-0.8634490210000934,0.0,23.7,0.012491555132008614,8.0,0.0,0,0.0
2010-05-31,9,32.07,-0.7195726663433959,-0.030771658666753687,21.2,0.011181935624704487,12.0,0.0,0,0.0
2010-06-30,5,34.54,-0.5856053716294127,-0.021053409197832273,23.54,0.004512474619358109,3.0,0.0,0,0.0
2010-07-31,3,23.5,-0.4692888664372106,0.0,17.75,-0.0009618576785896948,2.0,0.0,0,0.0
2010-08-31,8,26.05,-0.3781655637574062,0.010582109330536937,19.53,-0.007742009267110106,4.0,0.0,0,0.0
2010-09-30,1,23.7,-0.31878286291080826,0.0,18.35,-0.012500807063947406,1.0,0.0,0,0.0
2010-10-31,3,21.2,-0.29426956767490253,-0.010582109330536937,17.74,-0.010273682088913105,5.0,0.0,0,0.0
2010-11-30,10,23.54,-0.3043990755145103,0.04167269640056803,14.75,-0.00916677764916507,6.0,0.0,0,0.0
2010-12-31,4,17.75,-0.3433513593075901,-0.05236798551731603,15.45,-0.008397936429877184,5.0,0.0,0,0.0
2011-01-31,6,19.53,-0.39520320916039964,-0.021739986636406083,16.52,-0.011348846593963735,2.0,0.0,0,0.0
2011-02-28,12,18.35,-0.44226585394821427,-0.011049836186584727,25.25,-0.009415183590601117,13.0,0.0,0,0.0
2011-03-31,10,17.74,-0.47262298517692614,0.0,31.62,0.0003629289860400675,7.0,0.0,0,0.0
2011-04-30,8,14.75,-0.4881405584894054,0.011049836186584727,42.96,0.00987179125280413,6.0,0.0,0,0.0
2011-05-31,12,15.45,-0.4948772466832736,-0.011049836186584727,29.96,0.01094164590583624,8.0,0.0,0,0.0
2011-06-30,3,16.52,-0.494786581385398,0.011049836186584727,27.8,0.00885957237504087,4.0,0.0,0,0.0
2011-07-31,2,25.25,-0.4782484738839088,-0.011049836186584727,23.4,0.0027859678497641482,3.0,0.0,0,0.0
2011-08-31,4,31.62,-0.43190712127479003,0.0,19.44,-0.003913816668417169,9.0,0.0,0,0.0
2011-09-30,1,42.96,-0.3478405406147971,0.0,18.43,-0.011470285254951307,1.0,0.0,0,0.0
2011-10-31,5,29.96,-0.23508060398050645,-0.022472855852058604,15.5,-0.012614364519998311,3.0,0.0,0,0.0
2011-11-30,6,27.8,-0.11051264756132184,-0.02298951822469908,17.15,-0.012680394137084328,3.0,0.0,0,0.0
2011-12-31,5,23.4,0.007956507646994737,-0.011696039763191113,24.06,-0.011021624858368995,2.0,0.0,0,0.0
2012-01-31,2,19.44,0.10722872134999761,-0.023810648693718406,17.08,-0.007425758316090381,4.0,0.0,0,0.0
2012-02-29,13,18.43,0.17787785436399872,0.0,18.93,-0.0012678810188786471,10.0,0.0,0,0.0
2012-03-31,7,15.5,0.2142080922100007,-0.012121360532344916,17.47,0.01385905442252966,7.0,0.0,0,0.0
2012-04-30,6,17.15,0.2161756202309988,0.0,15.73,0.019013337856044643,13.0,0.0,0,0.0
2012-05-31,8,24.06,0.186637719538993,0.0,18.6,0.018431723188214733,13.0,0.0,0,0.0
2012-06-30,4,17.08,0.130890121560995,0.0,15.87,0.014911208264853926,4.0,0.0,0,0.0
2012-07-31,3,18.93,0.05829795786100078,0.0,18.02,0.007730051606645638,3.0,0.0,0,0.0
2012-08-31,9,17.47,-0.020216066330704052,-0.012270092591814219,14.28,0.002920578993743206,3.0,0.0,0,0.0
2012-09-30,1,15.73,-0.09359480735020043,-0.03774032798284699,15.51,-0.0023939677938571435,8.0,0.0,0,0.0
2012-10-31,3,18.6,-0.15175604157720102,0.0,12.7,-0.002691399556132623,4.0,0.0,0,0.0
2012-11-30,3,15.87,-0.18759712356630587,-0.012903404835908017,13.52,-4.1676506958410187e-05,16.0,0.0,0,0.0
2012-12-31,2,18.02,-0.20020858854809376,0.02564243061333782,16.3,-0.0006392573714917305,3.0,0.0,0,0.0
2013-01-31,4,14.28,-0.19982584223841116,0.012578782206859707,16.86,0.0030674870678613075,6.0,0.0,0,0.0
2013-02-28,10,15.51,-0.19923669899201002,-0.038221212820197525,13.45,0.00586580833815642,10.0,0.0,0,0.0
2013-03-31,7,12.7,-0.20629847024358128,-0.026317308317373556,17.01,0.019118640782232355,9.0,0.0,0,0.0
2013-04-30,13,13.52,-0.21663299186930374,0.013245226750020489,16.6,0.020158506400147935,4.0,0.0,0,0.0
2013-05-31,13,16.3,-0.22095733872541246,-0.013245226750020489,13.75,0.01898708170824115,8.0,0.0,0,0.0
2013-06-30,4,16.86,-0.21228988880349675,0.0,13.7,0.016545176310662768,6.0,0.0,0,0.0
2013-07-31,3,13.45,-0.19369600878459892,-0.027028672387919173,13.72,0.011819567216879712,7.0,0.0,0,0.0
2013-08-31,3,17.01,-0.17395100090021742,-0.013793322132335861,18.41,0.006968800924401108,8.0,0.0,0,0.0
2013-09-30,8,16.6,-0.16406300536679908,0.0,14.0,0.0017299415758262882,1.0,0.0,0,0.0
2013-10-31,4,13.75,-0.17400716005720085,0.0,13.88,-0.0007455136401519624,12.0,0.0,0,0.0
2013-11-30,16,13.7,-0.208462858943804,-0.042559614418795855,13.41,-0.00121656804895931,5.0,0.0,0,0.0
2013-12-31,3,13.72,-0.261277965923,-0.02941388520629329,11.4,-0.0005146648202130066,2.0,0.0,0,0.0
2014-01-31,6,18.41,-0.30835318731300276,-0.015037877364540764,11.57,0.0005836850776859137,2.0,0.0,0,0.0
2014-02-28,10,14.0,-0.3207235971699163,0.015037877364540764,16.95,0.003169793172253854,6.0,0.0,0,0.0
2014-03-31,9,13.88,-0.2780307897942009,0.0,11.98,0.008228243414312608,9.0,0.0,0,0.0
2014-04-30,4,13.41,-0.18454886928707026,-0.0775582343458745,16.31,0.010999663643470825,6.0,0.0,0,0.0
2014-05-31,8,11.4,-0.05684068387670038,0.016000341346440905,14.03,0.010467209603350902,10.0,0.0,0,0.0
2014-06-30,6,11.57,0.0847005982719935,-0.03226086221822144,13.33,0.009204400630285825,9.0,0.0,0,0.0
2014-07-31,7,16.95,0.22173840047899773,0.016260520871780537,19.2,0.005501392219319889,4.0,0.0,0,0.0
2014-08-31,8,11.98,0.34052426931800994,-0.016260520871780537,20.97,0.001870885569960734,7.0,0.0,0,0.0
2014-09-30,1,16.31,0.4346661871019961,-0.03333642026759165,13.34,-0.0012369028815726324,4.0,0.0,0,0.0
2014-10-31,12,14.03,0.5090917148829988,-0.03448617607116922,15.29,-0.0019690524090902883,7.0,0.0,0,0.0
2014-11-30,5,13.33,0.5727367635309975,0.01739174271186905,14.55,-0.0014928373571549969,7.0,0.0,0,0.0
2014-12-31,2,19.2,0.6325412404389965,-0.035091319811270116,13.84,-0.0011466204472192487,3.0,0.0,0,0.0
2015-01-31,2,20.97,0.6881440913149959,0.017699577099401065,18.23,-0.0012140883808902103,6.0,0.0,0,0.0
2015-02-28,6,13.34,0.7346206802189954,-0.035718082602079315,12.12,0.0023367093080990387,5.0,0.0,0,0.0
2015-03-31,9,15.29,0.7654524928749993,-0.01834913866819643,28.43,0.008697992660941622,2.0,0.0,0,0.0
2015-04-30,6,14.55,0.7760854473030037,0.0,24.5,0.011078987452703082,4.0,0.0,0,0.0
2015-05-31,10,13.84,0.7632368946739945,0.03636764417087468,15.07,0.010963405587021136,2.0,0.0,0,0.0
2015-06-30,9,18.23,0.7255989797200044,-0.05505977718302746,16.13,0.00923741934256661,5.0,0.0,0,0.0
2015-07-31,4,12.12,0.6661707480100034,-0.019048194970694432,18.21,0.005983240685777602,7.0,0.0,0,0.0
2015-08-31,7,28.43,0.5900845268799912,-0.019418085857101586,20.2,0.0025410792651028302,7.0,0.0,0,0.0
2015-09-30,4,24.5,0.5039732669230119,-0.019802627296179764,20.55,0.000651398816231108,4.0,0.0,0,0.0
2015-10-31,7,15.07,0.41651573232699945,0.0,13.95,6.854361947272736e-05,8.0,0.0,0,0.0
2015-11-30,7,16.13,0.335658392092995,0.019802627296179764,15.7,0.000571014193798014,2.0,0.0,0,0.0
2015-12-31,3,18.21,0.2659511047340004,-0.019802627296179764,14.19,-0.00011988593723799568,1.0,0.0,0,0.0
